Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6
294,Transgene SA,$97.0 M,France,French Healthcare,French Biotechnology,
295,MGI Digital Technology SA,$96.7 M,France,French Industrials,French Specialty Business Services,
296,Installux SA,$94.2 M,France,French Basic Materials,French Aluminum,
297,NSE,$93.8 M,France,French Technology,French Scientific & Technical Instruments,
298,Ekinops SA,$91.8 M,France,French Technology,French Communication Equipment,
299,Jacques Bogart SA,$91.7 M,France,French Consumer Staples,French Household & Personal Products,
300,Streamwide SA,$91.7 M,France,French Technology,French Software—Application,
301,Voluntis SA,"$91.3 M  (Oct. 1, 2021)",France,French Healthcare,French Health Information Services,
302,Median Technologies SA,$89.9 M,France,French Healthcare,French Diagnostics & Research,
303,Bilendi,$88.2 M,France,French Communication Services,French Advertising Agencies,
304,Societe de la Tour Eiffel,$88.1 M,France,French Real Estate,French REIT—Office,
305,Crossject SA,$86.4 M,France,French Healthcare,French Medical Instruments & Supplies,
306,Foncière Vindi SA,$86.4 M,France,French Real Estate,French Real Estate Services,
307,Tipiak SA,"$85.9 M  (July 1, 2024)",France,French Consumer Staples,French Packaged Foods,
308,Sequans Communications SA,$85.7 M,France,French Technology,French Semiconductors,
309,Hoffmann Green Cement Technologies SA,$85.3 M,France,French Basic Materials,French Building Materials,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
310,Haulotte Group SA,$84.6 M,France,French Industrials,French Farm & Heavy Construction Machinery,
311,SRP Groupe SA,$84.1 M,France,French Consumer Discretionary,French Internet Retail,
312,Fonciere Volta SA,$83.9 M,France,French Real Estate,French Real Estate Services,
313,GEA,$83.4 M,France,French Industrials,French Business Equipment & Supplies,
314,Abeo SA,$82.7 M,France,French Consumer Discretionary,French Leisure,
315,ST Dupont SA,$82.5 M,France,French Consumer Discretionary,French Luxury Goods,
316,Prodware,$82.0 M,France,French Technology,French Software—Application,
317,Paragon ID SA,"$81.2 M  (July 1, 2023)",France,French Technology,French Semiconductors,
318,EDAP TMS SA,$80.5 M,France,French Healthcare,French Medical Devices,
319,ADLPartner,"$80.4 M  (Oct. 1, 2021)",France,French Communication Services,French Advertising Agencies,
320,Poujoulat SA,$79.0 M,France,French Industrials,French Building Products & Equipment,
321,Mr. Bricolage SA,$77.7 M,France,French Consumer Discretionary,French Home Improvement Retail,
322,Claranova SE,$77.5 M,France,French Technology,French Software—Application,
323,Arcadia Worldwide Ltd,$77.4 M,France,French Communication Services,French Electronic Gaming & Multimedia,
324,Videlio,"$75.6 M  (July 1, 2021)",France,French Technology,French Communication Equipment,
325,Reworld Media SA,$74.9 M,France,French Communication Services,French Advertising Agencies,
326,Cie Industrielle et Financiere D'Entreprises,$74.6 M,France,French Industrials,French Engineering & Construction,
327,Groupe LDLC societe anonyme,$73.0 M,France,French Consumer Discretionary,French Specialty Retail,
328,Herige,$73.0 M,France,French Basic Materials,French Building Materials,
329,Montagne et Neige Développement SA,"$71.8 M  (Sept. 1, 2021)",France,French Consumer Discretionary,French Leisure,
330,DBV Technologies SA,$70.7 M,France,French Healthcare,French Biotechnology,
331,Wallix Group,$69.8 M,France,French Technology,French Software—Infrastructure,
332,Catering International & Services SA,$68.8 M,France,French Industrials,French Specialty Business Services,
333,Fonciere Paris Nord,$67.8 M,France,French Real Estate,French REIT—Office,
334,McPhy Energy SA,$67.7 M,France,French Industrials,French Specialty Industrial Machinery,
335,1000mercis,$67.5 M,France,French Communication Services,French Advertising Agencies,
336,CeGeREAL,$67.2 M,France,French Real Estate,French REIT—Office,
337,Saint Jean Groupe SA,$66.6 M,France,French Consumer Staples,French Packaged Foods,
338,Les Docks des Petroles d'Ambes SA,$65.1 M,France,French Energy,French Oil & Gas Refining & Marketing,
339,SergeFerrari Group SA,$64.8 M,France,French Industrials,French Building Products & Equipment,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
340,Sogeclair,"$64.5 M  (July 1, 2023)",France,French Industrials,French Aerospace & Defense,
341,Fiducial Office Solutions,$63.2 M,France,French Industrials,French Business Equipment & Supplies,
342,Damartex SA,$61.8 M,France,French Consumer Discretionary,French Apparel Retail,
343,Paref SA,$61.7 M,France,French Real Estate,French REIT—Diversified,
344,Affluent Medical SA,$61.1 M,France,French Healthcare,French Medical Devices,
345,Focus Home Interactive SA,$60.1 M,France,French Communication Services,French Electronic Gaming & Multimedia,
346,Les Agences de Papa SA,"$59.2 M  (July 1, 2023)",France,French Real Estate,French Real Estate Services,
347,ATEME SA,$59.2 M,France,French Technology,French Communication Equipment,
348,Actia Group,$56.5 M,France,French Consumer Discretionary,French Auto Parts,
349,Visiomed Group SA,$55.3 M,France,French Healthcare,French Medical Instruments & Supplies,
350,ADA,"$54.9 M  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,
351,Baikowski SA,$54.7 M,France,French Basic Materials,French Chemicals,
352,MRM,"$54.4 M  (July 1, 2024)",France,French Real Estate,French REIT—Diversified,
353,Groupe Parot SACA,"$54.0 M  (July 1, 2024)",France,French Consumer Discretionary,French Auto & Truck Dealerships,
354,Genkyotex SA,"$53.6 M  (Sept. 1, 2021)",France,French Healthcare,French Biotechnology,
355,ERYTECH Pharma SA,"$53.1 M  (July 1, 2023)",France,French Healthcare,French Biotechnology,
356,Capelli,"$52.3 M  (June 1, 2022)",France,French Real Estate,French Real Estate—Development,
357,HighCo,$51.5 M,France,French Communication Services,French Advertising Agencies,
358,Le Tanneur & Cie Societe anonyme,"$51.3 M  (Nov. 1, 2022)",France,French Consumer Discretionary,French Footwear & Accessories,
359,Aurea SA,$51.1 M,France,French Industrials,French Waste Management,
360,Artea,$49.7 M,France,French Real Estate,French Real Estate Services,
361,Advini,$49.2 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
362,Hydrogen-Refueling-Solutions SA,$48.9 M,France,French Consumer Discretionary,French Specialty Retail,
363,Carmat SA,$47.8 M,France,French Healthcare,French Medical Devices,
364,Hopscotch Groupe,$46.9 M,France,French Communication Services,French Advertising Agencies,
365,IT Link SA,$45.8 M,France,French Technology,French Information Technology Services,
366,Blue Shark Power System SACA,$44.9 M,France,French Utilities,French Utilities—Renewable,
367,Lacroix Group SA,$43.5 M,France,French Technology,French Scientific & Technical Instruments,
368,Delfingen Industry,$42.6 M,France,French Consumer Discretionary,French Auto Parts,
369,Evergreen SA,$40.8 M,France,French Financials,French Asset Management,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
370,Plastiques du Val de Loire,$36.5 M,France,French Consumer Discretionary,French Auto Parts,
371,Prodways Group SA,$31.6 M,France,French Industrials,French Specialty Industrial Machinery,
372,2MX Organic SA,$30.6 M,France,French Financials,French Shell Companies,
373,BigBen Interactive,$29.4 M,France,French Technology,French Consumer Electronics,
374,TTI,"$28.4 M  (July 1, 2024)",France,French Technology,French Software—Application,
375,"MEMSCAP, SA",$27.0 M,France,French Technology,French Semiconductor Equipment & Materials,
376,Valbiotis SA,$22.2 M,France,French Healthcare,French Biotechnology,
377,Biosynex SA,$19.3 M,France,French Healthcare,French Diagnostics & Research,
378,Dont Nod Entertainment SA,$16.1 M,France,French Communication Services,French Electronic Gaming & Multimedia,
379,Réalités,$8.7 M,France,French Real Estate,French Real Estate Services,
380,Kalray SA,$7.7 M,France,French Technology,French Semiconductors,
381,Orpea SA,$1.8 M,France,French Healthcare,French Medical Care Facilities,
382,Aramis Group SAS,,France,French Consumer Discretionary,French Auto & Truck Dealerships,
383,EPC Groupe,,France,French Basic Materials,French Specialty Chemicals,
384,Accor Acquisition Company SA,,France,French Financials,French Shell Companies,
385,Jsa Technology SA,,France,French Energy,French Oil & Gas Equipment & Services,
386,FranceSoir Groupe SA,,France,French Technology,French Software—Infrastructure,
387,Ardoin ST Amand A,,France,French Consumer Discretionary,French Auto & Truck Dealerships,
388,AMA Corp PLC,,France,French Healthcare,French Health Information Services,
389,Antin Infrastructure Partners SA,,France,French Financials,French Asset Management,
390,Altheora SA,,France,French Industrials,French Electrical Equipment & Parts,
391,Spartoo SAS,,France,French Consumer Discretionary,French Internet Retail,
392,AFYREN SAS,,France,French Basic Materials,French Specialty Chemicals,
393,Audacia SAS,,France,French Financials,French Asset Management,
394,Transition SA,,France,French Financials,French Shell Companies,
395,"Colipays, SA",,France,French Consumer Discretionary,French Internet Retail,
396,Believe SA,,France,French Consumer Discretionary,French Specialty Retail,
397,Visiativ SA,,France,French Technology,French Software—Application,
398,Weya SA,,France,French Utilities,French Utilities—Diversified,
399,Metalliance SA,,France,French Industrials,French Specialty Industrial Machinery,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
400,SAS AG3i,,France,French Industrials,French Engineering & Construction,
401,Editions DU Signe,,France,French Communication Services,French Publishing,
402,Moulinvest SA,,France,French Basic Materials,French Lumber & Wood Production,
403,E-Pango SA,,France,French Utilities,French Utilities—Renewable,
404,Enogia SAS,,France,French Industrials,French Specialty Industrial Machinery,
405,Recylex SA,,France,French Basic Materials,French Other Industrial Metals & Mining,
406,Signaux Girod SA,,France,French Industrials,French Railroads,
407,Obiz Concept SAS,,France,French Communication Services,French Advertising Agencies,
408,NFL Biosciences SA,,France,French Healthcare,French Biotechnology,
409,Magillem Design Services,,France,French Technology,French Software—Application,
410,OVH Groupe SAS,,France,French Technology,French Software—Infrastructure,
411,Les Toques Blanches du Monde SA,,France,French Consumer Discretionary,French Restaurants,
412,Exclusive Networks SA,,France,French Technology,French Software—Infrastructure,
413,CS Communication & Systemes SA,,France,French Industrials,French Aerospace & Defense,
414,Centrale d'Achat Française pour l'Outre-Mer SA,,France,French Consumer Discretionary,French Specialty Retail,
