Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap ( Billion USD)
65,Elis SA,$4.76 B,France,French Industrials,French Specialty Business Services,,4.76
66,Technip Energies N.V.,$4.66 B,France,French Energy,French Oil & Gas Equipment & Services,,4.66
67,Vallourec SA,$4.62 B,France,French Basic Materials,French Steel,,4.62
68,SCOR SE,$4.56 B,France,French Financials,French Insurance—Reinsurance,,4.56
69,Nexans SA,$4.38 B,France,French Industrials,French Electrical Equipment & Parts,,4.38
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
70,Wendel,$4.34 B,France,French Financials,French Asset Management,,4.34
71,BEL SA,"$4.25 B  (Jan. 1, 2022)",France,French Consumer Staples,French Packaged Foods,,4.25
72,Colas SA,"$4.17 B  (July 1, 2023)",France,French Industrials,French Infrastructure Operations,,4.17
73,Faurecia SE,"$3.94 B  (June 1, 2023)",France,French Consumer Discretionary,French Auto Parts,,3.94
74,Tikehau Capital,$3.87 B,France,French Financials,French Asset Management,,3.87
75,Rothschild & Co SCA,"$3.73 B  (July 1, 2023)",France,French Financials,French Capital Markets,,3.73
76,Sopra Steria Group SA,$3.60 B,France,French Technology,French Information Technology Services,,3.6
77,Interparfums SA,$3.28 B,France,French Consumer Staples,French Household & Personal Products,,3.28
78,Societe Fonciere Lyonnaise SA,$3.25 B,France,French Real Estate,French REIT—Office,,3.25
79,JCDecaux SA,$3.18 B,France,French Communication Services,French Advertising Agencies,,3.18
80,Soitec SA,$3.17 B,France,French Technology,French Semiconductor Equipment & Materials,,3.17
81,Covivio Hotels Societe anonyme,$3.01 B,France,French Real Estate,French REIT—Hotel & Motel,,3.01
82,Lagardere SA,$2.94 B,France,French Consumer Discretionary,French Travel Services,,2.94
83,Rémy Cointreau SA,$2.92 B,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,2.92
84,Alten SA,$2.88 B,France,French Technology,French Information Technology Services,,2.88
85,Verallia SA,$2.74 B,France,French Consumer Discretionary,French Packaging & Containers,,2.74
86,Société BIC SA,$2.68 B,France,French Consumer Staples,French Household & Personal Products,,2.68
87,Virbac SA,$2.68 B,France,French Healthcare,French Drug Manufacturers—General,,2.68
88,Rubis,$2.68 B,France,French Utilities,French Utilities—Regulated Gas,,2.68
89,Société Industrielle et Financière de l'Artois SA,$2.67 B,France,French Technology,French Computer Hardware,,2.67
90,Europcar Mobility Group SA,"$2.66 B  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,,2.66
91,Valeo SA,$2.65 B,France,French Consumer Discretionary,French Auto Parts,,2.65
92,Vivendi SA,$2.64 B,France,French Communication Services,French Broadcasting,,2.64
93,ID Logistics Group SA,$2.62 B,France,French Industrials,French Specialty Business Services,,2.62
94,LDC SA,"$2.60 B  (July 1, 2024)",France,French Consumer Staples,French Packaged Foods,,2.6
95,Trigano SA,$2.44 B,France,French Consumer Discretionary,French Recreational Vehicles,,2.44
96,Imerys SA,$2.41 B,France,French Basic Materials,French Building Materials,,2.41
