Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap ( Billion USD)
266,Cheops Technology SA,$152.0 M,France,French Technology,French Information Technology Services,,152000000.0
267,Gévelot SA,$148.0 M,France,French Industrials,French Specialty Industrial Machinery,,148000000.0
268,Hexaom SA,"$146.5 M  (March 1, 2023)",France,French Consumer Discretionary,French Residential Construction,,146500000.0
269,Groupe IRD,"$134.8 M  (Dec. 1, 2022)",France,French Financials,French Asset Management,,134800000.0
270,Cogelec SA,$134.7 M,France,French Technology,French Communication Equipment,,134700000.0
271,Vente-Unique.Com SA,$134.4 M,France,French Consumer Discretionary,"French Furnishings, Fixtures & Appliances",,134400000.0
272,Cie du Mont-Blanc,$132.9 M,France,French Consumer Discretionary,French Leisure,,132900000.0
273,CBo Territoria,$132.2 M,France,French Real Estate,French Real Estate—Diversified,,132199999.99999999
274,Cast SA,"$132.1 M  (Oct. 1, 2022)",France,French Technology,French Software—Application,,132100000.0
275,Keyrus SA,$129.0 M,France,French Technology,French Information Technology Services,,129000000.0
276,Societe Centrale des Bois et Scieries de la Manche SA,$127.8 M,France,French Real Estate,French REIT—Diversified,,127800000.0
277,La Française de l'Energie SA,$127.1 M,France,French Energy,French Oil & Gas E&P,,127100000.0
278,Piscines Desjoyaux SA,$127.0 M,France,French Consumer Discretionary,French Leisure,,127000000.0
279,Vranken-Pommery Monopole SA,$120.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,120600000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
280,AB Science SA,$119.8 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,,119800000.0
281,Crosswood,$119.5 M,France,French Real Estate,French Real Estate Services,,119500000.0
282,Fleury Michon SA,$117.4 M,France,French Consumer Staples,French Packaged Foods,,117400000.0
283,Latécoère SA,"$117.2 M  (July 1, 2023)",France,French Industrials,French Aerospace & Defense,,117200000.0
284,Carbios SAS,$116.3 M,France,French Basic Materials,French Specialty Chemicals,,116300000.0
285,PCAS SA,"$116.3 M  (July 1, 2023)",France,French Basic Materials,French Chemicals,,116300000.0
286,Guillemot Corp SA,$111.5 M,France,French Technology,French Computer Hardware,,111500000.0
287,EuropaCorp,"$109.6 M  (Nov. 1, 2021)",France,French Communication Services,French Entertainment,,109600000.0
288,Oncodesign,"$105.0 M  (Dec. 1, 2022)",France,French Healthcare,French Biotechnology,,105000000.0
289,Eurofins-Cerep,$102.9 M,France,French Healthcare,French Drug Manufacturers—General,,102900000.0
290,Gascogne,$100.4 M,France,French Consumer Discretionary,French Packaging & Containers,,100400000.0
291,Ucar,"$98.9 M  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,,98900000.0
292,Cie Lebon SA,"$98.0 M  (April 1, 2023)",France,French Financials,French Asset Management,,98000000.0
293,Adocia SA,$97.8 M,France,French Healthcare,French Biotechnology,,97800000.0
294,Transgene SA,$97.0 M,France,French Healthcare,French Biotechnology,,97000000.0
295,MGI Digital Technology SA,$96.7 M,France,French Industrials,French Specialty Business Services,,96700000.0
296,Installux SA,$94.2 M,France,French Basic Materials,French Aluminum,,94200000.0
297,NSE,$93.8 M,France,French Technology,French Scientific & Technical Instruments,,93800000.0
298,Ekinops SA,$91.8 M,France,French Technology,French Communication Equipment,,91800000.0
299,Jacques Bogart SA,$91.7 M,France,French Consumer Staples,French Household & Personal Products,,91700000.0
300,Streamwide SA,$91.7 M,France,French Technology,French Software—Application,,91700000.0
301,Voluntis SA,"$91.3 M  (Oct. 1, 2021)",France,French Healthcare,French Health Information Services,,91300000.0
302,Median Technologies SA,$89.9 M,France,French Healthcare,French Diagnostics & Research,,89900000.0
303,Bilendi,$88.2 M,France,French Communication Services,French Advertising Agencies,,88200000.0
304,Societe de la Tour Eiffel,$88.1 M,France,French Real Estate,French REIT—Office,,88100000.0
305,Crossject SA,$86.4 M,France,French Healthcare,French Medical Instruments & Supplies,,86400000.0
306,Foncière Vindi SA,$86.4 M,France,French Real Estate,French Real Estate Services,,86400000.0
307,Tipiak SA,"$85.9 M  (July 1, 2024)",France,French Consumer Staples,French Packaged Foods,,85900000.0
308,Sequans Communications SA,$85.7 M,France,French Technology,French Semiconductors,,85700000.0
309,Hoffmann Green Cement Technologies SA,$85.3 M,France,French Basic Materials,French Building Materials,,85300000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
310,Haulotte Group SA,$84.6 M,France,French Industrials,French Farm & Heavy Construction Machinery,,84600000.0
311,SRP Groupe SA,$84.1 M,France,French Consumer Discretionary,French Internet Retail,,84100000.0
312,Fonciere Volta SA,$83.9 M,France,French Real Estate,French Real Estate Services,,83900000.0
313,GEA,$83.4 M,France,French Industrials,French Business Equipment & Supplies,,83400000.0
314,Abeo SA,$82.7 M,France,French Consumer Discretionary,French Leisure,,82700000.0
315,ST Dupont SA,$82.5 M,France,French Consumer Discretionary,French Luxury Goods,,82500000.0
316,Prodware,$82.0 M,France,French Technology,French Software—Application,,82000000.0
317,Paragon ID SA,"$81.2 M  (July 1, 2023)",France,French Technology,French Semiconductors,,81200000.0
318,EDAP TMS SA,$80.5 M,France,French Healthcare,French Medical Devices,,80500000.0
319,ADLPartner,"$80.4 M  (Oct. 1, 2021)",France,French Communication Services,French Advertising Agencies,,80400000.0
320,Poujoulat SA,$79.0 M,France,French Industrials,French Building Products & Equipment,,79000000.0
321,Mr. Bricolage SA,$77.7 M,France,French Consumer Discretionary,French Home Improvement Retail,,77700000.0
322,Claranova SE,$77.5 M,France,French Technology,French Software—Application,,77500000.0
323,Arcadia Worldwide Ltd,$77.4 M,France,French Communication Services,French Electronic Gaming & Multimedia,,77400000.0
324,Videlio,"$75.6 M  (July 1, 2021)",France,French Technology,French Communication Equipment,,75600000.0
325,Reworld Media SA,$74.9 M,France,French Communication Services,French Advertising Agencies,,74900000.0
326,Cie Industrielle et Financiere D'Entreprises,$74.6 M,France,French Industrials,French Engineering & Construction,,74600000.0
327,Groupe LDLC societe anonyme,$73.0 M,France,French Consumer Discretionary,French Specialty Retail,,73000000.0
328,Herige,$73.0 M,France,French Basic Materials,French Building Materials,,73000000.0
329,Montagne et Neige Développement SA,"$71.8 M  (Sept. 1, 2021)",France,French Consumer Discretionary,French Leisure,,71800000.0
330,DBV Technologies SA,$70.7 M,France,French Healthcare,French Biotechnology,,70700000.0
331,Wallix Group,$69.8 M,France,French Technology,French Software—Infrastructure,,69800000.0
332,Catering International & Services SA,$68.8 M,France,French Industrials,French Specialty Business Services,,68800000.0
333,Fonciere Paris Nord,$67.8 M,France,French Real Estate,French REIT—Office,,67800000.0
334,McPhy Energy SA,$67.7 M,France,French Industrials,French Specialty Industrial Machinery,,67700000.0
335,1000mercis,$67.5 M,France,French Communication Services,French Advertising Agencies,,67500000.0
336,CeGeREAL,$67.2 M,France,French Real Estate,French REIT—Office,,67200000.0
337,Saint Jean Groupe SA,$66.6 M,France,French Consumer Staples,French Packaged Foods,,66599999.99999999
338,Les Docks des Petroles d'Ambes SA,$65.1 M,France,French Energy,French Oil & Gas Refining & Marketing,,65099999.99999999
339,SergeFerrari Group SA,$64.8 M,France,French Industrials,French Building Products & Equipment,,64800000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
340,Sogeclair,"$64.5 M  (July 1, 2023)",France,French Industrials,French Aerospace & Defense,,64500000.0
341,Fiducial Office Solutions,$63.2 M,France,French Industrials,French Business Equipment & Supplies,,63200000.0
342,Damartex SA,$61.8 M,France,French Consumer Discretionary,French Apparel Retail,,61800000.0
343,Paref SA,$61.7 M,France,French Real Estate,French REIT—Diversified,,61700000.0
344,Affluent Medical SA,$61.1 M,France,French Healthcare,French Medical Devices,,61100000.0
345,Focus Home Interactive SA,$60.1 M,France,French Communication Services,French Electronic Gaming & Multimedia,,60100000.0
346,Les Agences de Papa SA,"$59.2 M  (July 1, 2023)",France,French Real Estate,French Real Estate Services,,59200000.0
347,ATEME SA,$59.2 M,France,French Technology,French Communication Equipment,,59200000.0
348,Actia Group,$56.5 M,France,French Consumer Discretionary,French Auto Parts,,56500000.0
349,Visiomed Group SA,$55.3 M,France,French Healthcare,French Medical Instruments & Supplies,,55300000.0
350,ADA,"$54.9 M  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,,54900000.0
351,Baikowski SA,$54.7 M,France,French Basic Materials,French Chemicals,,54700000.0
352,MRM,"$54.4 M  (July 1, 2024)",France,French Real Estate,French REIT—Diversified,,54400000.0
353,Groupe Parot SACA,"$54.0 M  (July 1, 2024)",France,French Consumer Discretionary,French Auto & Truck Dealerships,,54000000.0
354,Genkyotex SA,"$53.6 M  (Sept. 1, 2021)",France,French Healthcare,French Biotechnology,,53600000.0
355,ERYTECH Pharma SA,"$53.1 M  (July 1, 2023)",France,French Healthcare,French Biotechnology,,53100000.0
356,Capelli,"$52.3 M  (June 1, 2022)",France,French Real Estate,French Real Estate—Development,,52300000.0
357,HighCo,$51.5 M,France,French Communication Services,French Advertising Agencies,,51500000.0
358,Le Tanneur & Cie Societe anonyme,"$51.3 M  (Nov. 1, 2022)",France,French Consumer Discretionary,French Footwear & Accessories,,51300000.0
359,Aurea SA,$51.1 M,France,French Industrials,French Waste Management,,51100000.0
360,Artea,$49.7 M,France,French Real Estate,French Real Estate Services,,49700000.0
361,Advini,$49.2 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,49200000.0
362,Hydrogen-Refueling-Solutions SA,$48.9 M,France,French Consumer Discretionary,French Specialty Retail,,48900000.0
363,Carmat SA,$47.8 M,France,French Healthcare,French Medical Devices,,47800000.0
364,Hopscotch Groupe,$46.9 M,France,French Communication Services,French Advertising Agencies,,46900000.0
365,IT Link SA,$45.8 M,France,French Technology,French Information Technology Services,,45800000.0
366,Blue Shark Power System SACA,$44.9 M,France,French Utilities,French Utilities—Renewable,,44900000.0
367,Lacroix Group SA,$43.5 M,France,French Technology,French Scientific & Technical Instruments,,43500000.0
368,Delfingen Industry,$42.6 M,France,French Consumer Discretionary,French Auto Parts,,42600000.0
369,Evergreen SA,$40.8 M,France,French Financials,French Asset Management,,40800000.0
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
370,Plastiques du Val de Loire,$36.5 M,France,French Consumer Discretionary,French Auto Parts,,36500000.0
371,Prodways Group SA,$31.6 M,France,French Industrials,French Specialty Industrial Machinery,,31600000.0
372,2MX Organic SA,$30.6 M,France,French Financials,French Shell Companies,,30600000.0
373,BigBen Interactive,$29.4 M,France,French Technology,French Consumer Electronics,,29400000.0
374,TTI,"$28.4 M  (July 1, 2024)",France,French Technology,French Software—Application,,28400000.0
375,"MEMSCAP, SA",$27.0 M,France,French Technology,French Semiconductor Equipment & Materials,,27000000.0
376,Valbiotis SA,$22.2 M,France,French Healthcare,French Biotechnology,,22200000.0
377,Biosynex SA,$19.3 M,France,French Healthcare,French Diagnostics & Research,,19300000.0
378,Dont Nod Entertainment SA,$16.1 M,France,French Communication Services,French Electronic Gaming & Multimedia,,16100000.000000002
379,Réalités,$8.7 M,France,French Real Estate,French Real Estate Services,,8700000.0
380,Kalray SA,$7.7 M,France,French Technology,French Semiconductors,,7700000.0
381,Orpea SA,$1.8 M,France,French Healthcare,French Medical Care Facilities,,1800000.0
382,Aramis Group SAS,nan,France,French Consumer Discretionary,French Auto & Truck Dealerships,,
383,EPC Groupe,nan,France,French Basic Materials,French Specialty Chemicals,,
384,Accor Acquisition Company SA,nan,France,French Financials,French Shell Companies,,
385,Jsa Technology SA,nan,France,French Energy,French Oil & Gas Equipment & Services,,
386,FranceSoir Groupe SA,nan,France,French Technology,French Software—Infrastructure,,
387,Ardoin ST Amand A,nan,France,French Consumer Discretionary,French Auto & Truck Dealerships,,
388,AMA Corp PLC,nan,France,French Healthcare,French Health Information Services,,
389,Antin Infrastructure Partners SA,nan,France,French Financials,French Asset Management,,
390,Altheora SA,nan,France,French Industrials,French Electrical Equipment & Parts,,
391,Spartoo SAS,nan,France,French Consumer Discretionary,French Internet Retail,,
392,AFYREN SAS,nan,France,French Basic Materials,French Specialty Chemicals,,
393,Audacia SAS,nan,France,French Financials,French Asset Management,,
394,Transition SA,nan,France,French Financials,French Shell Companies,,
395,"Colipays, SA",nan,France,French Consumer Discretionary,French Internet Retail,,
396,Believe SA,nan,France,French Consumer Discretionary,French Specialty Retail,,
397,Visiativ SA,nan,France,French Technology,French Software—Application,,
398,Weya SA,nan,France,French Utilities,French Utilities—Diversified,,
399,Metalliance SA,nan,France,French Industrials,French Specialty Industrial Machinery,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
400,SAS AG3i,nan,France,French Industrials,French Engineering & Construction,,
401,Editions DU Signe,nan,France,French Communication Services,French Publishing,,
402,Moulinvest SA,nan,France,French Basic Materials,French Lumber & Wood Production,,
403,E-Pango SA,nan,France,French Utilities,French Utilities—Renewable,,
404,Enogia SAS,nan,France,French Industrials,French Specialty Industrial Machinery,,
405,Recylex SA,nan,France,French Basic Materials,French Other Industrial Metals & Mining,,
406,Signaux Girod SA,nan,France,French Industrials,French Railroads,,
407,Obiz Concept SAS,nan,France,French Communication Services,French Advertising Agencies,,
408,NFL Biosciences SA,nan,France,French Healthcare,French Biotechnology,,
409,Magillem Design Services,nan,France,French Technology,French Software—Application,,
410,OVH Groupe SAS,nan,France,French Technology,French Software—Infrastructure,,
411,Les Toques Blanches du Monde SA,nan,France,French Consumer Discretionary,French Restaurants,,
412,Exclusive Networks SA,nan,France,French Technology,French Software—Infrastructure,,
413,CS Communication & Systemes SA,nan,France,French Industrials,French Aerospace & Defense,,
414,Centrale d'Achat Française pour l'Outre-Mer SA,nan,France,French Consumer Discretionary,French Specialty Retail,,
