Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Type,Status,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Follow on index,Exits,Stages of investment,Areas of investment
Celeste Management,,0,,celeste-management,https://unicorn-nest.com/funds/celeste-management,,,16,0,11,,,0.31,,,Health CareMedicalMarketingDigital MediaSmart HomeAdvertising PlatformsAd NetworkMiningEnvironmental EngineeringWater Purification
Cemag Invest Partners,,0,,cemag-invest-partners,https://unicorn-nest.com/funds/cemag-invest-partners,,,,0,,,,,,,
Cemex Ventures,,0,,cemex-ventures,https://unicorn-nest.com/funds/cemex-ventures,CVC,Active,33,0,22,4.71,8,0.33,1,,LogisticsE-CommerceTransportationSoftwareInformation TechnologyInformation ServicesSaaSConstructionRenewable EnergyArchitecture
Climate-Kic,,0,,climate-kic,https://unicorn-nest.com/funds/climate-kic,Accelerator/Incubator,Active,9,0,8,0.69,,0.11,,,Energy StorageInternetSoftwareCleanTechEnergyRenewable EnergySustainabilityWaste ManagementBatteryRecycling
Cmc Capital Group,,0,,cmc-capital-group,https://unicorn-nest.com/funds/cmc-capital-group,,,81,0,67,5.79,29,0.17,10,Late Stage Venture,E-CommerceInternetArtificial IntelligenceFood and BeverageAppsMobile AppsEducationSportsVideoMedia and Entertainment
Cmt,,0,,cmt,https://unicorn-nest.com/funds/cmt,,,,0,,,,,,,
Coatue,,0,,coatue,https://unicorn-nest.com/funds/coatue,"Venture Capital, Private equity",Active,451,0,284,18.04,74,0.36,24,Early Stage VentureLate Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceMachine LearningSaaSEnterprise Software
Colam Impact,,0,,colam-impact,https://unicorn-nest.com/funds/colam-impact,,,11,0,7,,1,0.36,,,ClothingInternet RetailInformation Services (B2C)E-CommerceConsumer GoodsRetailFashionBusiness DevelopmentShoppingService Industry
Cordillera Capital,,0,,cordillera-capital,https://unicorn-nest.com/funds/cordillera-capital,,,,0,,,,,,,
Creative Dock,,0,,creative-dock,https://unicorn-nest.com/funds/creative-dock,,,5,0,4,0.50,4,0.20,,SeedEarly Stage Venture,E-CommerceInternetSoftwareInformation TechnologySaaSInsuranceConsultingContact Management
Credit Agricole Entreprises,,0,,credit-agricole-entreprises,https://unicorn-nest.com/funds/credit-agricole-entreprises,,,7,0,6,0.05,,0.14,1,,BiotechnologyInfrastructureSoftwareMobileHealth CareWellnessMedicalPharmaceuticalTherapeuticsWireless
Cumberland,,0,,cumberland,https://unicorn-nest.com/funds/cumberland,Corporate investor,Active,10,0,9,1.00,,0.10,,,Financial ServicesFinTechInformation TechnologyFinanceArtificial IntelligenceConsumer SoftwareBlockchainFinancial ExchangesHedge FundsTrading Platform
Curiosity Venture Capital,,0,,curiosity-venture-capital,https://unicorn-nest.com/funds/curiosity-venture-capital,,,,0,,,,,,,
Daphni,,0,,daphni,https://unicorn-nest.com/funds/daphni,Venture Capital,Active,87,0,51,9.67,25,0.41,2,SeedEarly Stage Venture,E-CommerceInternetSoftwareFinancial ServicesInformation TechnologyHuman ResourcesFood and BeverageBankingMarketplaceComputer
Demeter,,0,,demeter,https://unicorn-nest.com/funds/demeter,,,77,0,59,4.05,18,0.22,,Private Equity,AutomotiveBiotechnologySoftwareAnalyticsManufacturingElectronicsEnergyRenewable EnergyAgricultureFarming
Dn Capital,,0,,dn-capital,https://unicorn-nest.com/funds/dn-capital,Venture Capital,Active,289,0,149,12.04,38,0.48,34,SeedEarly Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyMobileSaaSAppsEnterprise Software
Easo,,0,,easo,https://unicorn-nest.com/funds/easo,Venture Capital,Active,50,0,33,8.33,7,0.34,,Early Stage Venture,E-CommerceInternetSoftwareInformation TechnologyHealth CareHealth DiagnosticsManufacturingCyber SecurityMedicalIndustrial Manufacturing
Edot Invest,,0,,edot-invest,https://unicorn-nest.com/funds/edot-invest,Venture Capital,Active,4,0,3,0.57,3,0.25,,SeedEarly Stage Venture,E-CommerceInternetSoftwareRetailFashionRenewable EnergyPower Grid
Educapital,,0,,educapital,https://unicorn-nest.com/funds/educapital,,,36,0,29,5.14,9,0.19,1,Venture,InternetSoftwareE-LearningHuman ResourcesSaaSEdTechTrainingEducationVideo GamesTutoring
Efounders,,0,,efounders,https://unicorn-nest.com/funds/efounders,,,51,0,23,3.92,1,0.55,5,SeedEarly Stage Venture,InternetSoftwareFinancial ServicesFinTechB2BPaymentsSaaSCollaborationEnterprise SoftwareCredit Cards
Eic,,0,,eic,https://unicorn-nest.com/funds/eic,,,4,0,4,0.17,,,,,BiotechnologyInformation TechnologyHealth CareLife ScienceComputerRenewable EnergyImage RecognitionCommunication HardwareClean EnergyWind Energy
Eit Urban Mobility,,0,,eit-urban-mobility,https://unicorn-nest.com/funds/eit-urban-mobility,Government organization,Active,16,0,13,,3,0.19,,SeedEarly Stage Venture,LogisticsTransportationSoftwareSaaSAppsDeliveryManufacturingConsultingSmart CitiesSharing Economy
Elaia,,0,,elaia,https://unicorn-nest.com/funds/elaia,Venture Capital,Active,197,0,132,8.95,53,0.33,25,SeedEarly Stage VentureLate Stage Venture,BiotechnologyE-CommerceInternetSoftwareAnalyticsInformation TechnologyArtificial IntelligenceHealth CareSaaSBig Data
Entrepreneurs First,,0,,entrepreneurs-first,https://unicorn-nest.com/funds/entrepreneurs-first,,,,0,,,,,,,
Eqt,,0,,eqt,https://unicorn-nest.com/funds/eqt,Other,Active,100,0,91,3.33,40,0.09,35,,AutomotiveE-CommerceInternetSoftwareFinancial ServicesInformation TechnologyHealth CareEducationManufacturingMedical Device
Eqt Ventures,,0,,eqt-ventures,https://unicorn-nest.com/funds/eqt-ventures,Venture Capital,Active,211,0,113,26.38,63,0.46,7,Early Stage VentureLate Stage Venture,SoftwareFinancial ServicesFinTechInformation TechnologyMobileArtificial IntelligenceMachine LearningHealth CareSaaSApps
Eurazeo,,0,,eurazeo,https://unicorn-nest.com/funds/eurazeo,Venture Capital,Active,313,0,229,5.69,38,0.26,46,,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyHealth CareManufacturingMarketplaceFashion
Eureka Venture,,0,,eureka-venture,https://unicorn-nest.com/funds/eureka-venture,,,20,0,14,4.00,5,0.30,,,BiotechnologyArtificial IntelligenceRoboticsManufacturingMedical DeviceSemiconductorConsultingRenewable Energy3D PrintingNanotechnology
Eurobim,,0,,eurobim,https://unicorn-nest.com/funds/eurobim,,,1,0,1,1.00,,,,,Real Estate
Faber Venture,,0,,faber-venture,https://unicorn-nest.com/funds/faber-venture,,,,0,,,,,,,
Fith Wall,,0,,fith-wall,https://unicorn-nest.com/funds/fith-wall,,,,0,,,,,,,
Financiere Arbevel,,0,,financiere-arbevel,https://unicorn-nest.com/funds/financiere-arbevel,,,,0,,,,,,,
Finaqui,,0,,finaqui,https://unicorn-nest.com/funds/finaqui,,,13,0,12,0.81,1,0.08,,SeedEarly Stage Venture,AutomotiveBiotechnologySoftwareHealth CareManufacturingMedicalFashionWomen'sCustomer ServiceTextiles
Finpiemonte,,0,,finpiemonte,https://unicorn-nest.com/funds/finpiemonte,,,3,0,3,,,,,,InternetArtificial IntelligenceMedical DeviceAutonomous VehiclesInternet of Things
First,,0,,first,https://unicorn-nest.com/funds/first,,,2,0,1,,,0.50,,SeedEarly Stage Venture,BiotechnologyHealth CarePharmaceuticalBiopharma
Firstime Venture Capital,,0,,firstime-venture-capital,https://unicorn-nest.com/funds/firstime-venture-capital,Venture Capital,Active,87,0,36,8.70,13,0.59,2,SeedEarly Stage Venture,E-CommerceInternetSoftwareRetail TechnologyMachine LearningHealth CareSecurityFashionPersonalizationVideo Streaming
Foreword.Vc,,0,,forewordvc,https://unicorn-nest.com/funds/forewordvc,,,,0,,,,,,,
Fotolia,,0,,fotolia,https://unicorn-nest.com/funds/fotolia,,,2,0,2,0.12,,,1,,BeautyCosmeticsMusicAudioArt
France Active,,0,,france-active,https://unicorn-nest.com/funds/france-active,,,19,0,16,,2,0.16,,,TransportationRetailInformation TechnologyCommunitiesEnergyRide SharingPublic TransportationAgricultureWaste ManagementEnvironmental Consulting
Freestyle Interactive,,0,,freestyle-interactive,https://unicorn-nest.com/funds/freestyle-interactive,,,1,0,1,0.04,,,,,Incubators
Galia Gestion,,0,,galia-gestion,https://unicorn-nest.com/funds/galia-gestion,,,53,0,47,,13,0.11,2,Early Stage Venture,BiotechnologySoftwareInformation TechnologyHealth CareManufacturingMedical DeviceMedicalElectronicsIndustrialCustomer Service
Go Capital,,0,,go-capital,https://unicorn-nest.com/funds/go-capital,,,119,0,86,5.67,29,0.28,5,SeedPrivate EquityEarly Stage Venture,BiotechnologySoftwareInformation TechnologyHealth CareSaaSManufacturingMedical DeviceMedicalElectronicsEnergy
Greenfield Capital,,0,,greenfield-capital,https://unicorn-nest.com/funds/greenfield-capital,,,,0,,,,,,,
Greenland Group,,0,,greenland-group,https://unicorn-nest.com/funds/greenland-group,,,3,0,3,0.10,2,,,Early Stage Venture,SoftwareInformation TechnologyRetail TechnologyEnterpriseArtificial IntelligenceMachine LearningCloud ComputingComputer VisionTelecommunicationsWireless
Groupe Siparex,,0,,groupe-siparex,https://unicorn-nest.com/funds/groupe-siparex,"Venture Capital, Private equity",Active,137,0,108,2.91,14,0.21,25,Early Stage VentureLate Stage Venture,LogisticsBiotechnologyInternetSoftwareInformation TechnologyHealth CareManufacturingHardwareElectronicsTelecommunications
Gumi Crypto Capital,,0,,gumi-crypto-capital,https://unicorn-nest.com/funds/gumi-crypto-capital,,,,0,,,,,,,
Habert Dassault Finance,,0,,habert-dassault-finance,https://unicorn-nest.com/funds/habert-dassault-finance,,,11,0,9,0.41,2,0.18,,Early Stage VentureLate Stage Venture,TransportationSoftwareHealth CareAppsAerospaceMedical DeviceMarketingMusicComputerAlternative Medicine
Hatcher+,,0,,hatcher,https://unicorn-nest.com/funds/hatcher,Corporate investor,Active,136,0,125,17.00,76,0.08,3,SeedEarly Stage Venture,E-CommerceInternetSoftwareInformation TechnologyArtificial IntelligenceMachine LearningHealth CareSaaSMobile AppsSports
Henq,,0,,henq,https://unicorn-nest.com/funds/henq,Venture Capital,Active,57,0,37,2.85,25,0.35,5,SeedEarly Stage Venture,E-CommerceSoftwareInformation TechnologyMobileArtificial IntelligenceMessagingSaaSEnterprise SoftwareMarketplacePaaS
Iconicum,,0,,iconicum,https://unicorn-nest.com/funds/iconicum,,,,0,,,,,,,
Idinvest Partners,,0,,idinvest-partners,https://unicorn-nest.com/funds/idinvest-partners,,,437,0,278,16.19,170,0.36,103,SeedEarly Stage VentureLate Stage Venture,BiotechnologyE-CommerceSoftwareInformation TechnologyHealth CareAppsManufacturingMedicalPharmaceuticalTherapeutics
Imc Ventures,,0,,imc-ventures,https://unicorn-nest.com/funds/imc-ventures,CVC,Active,3,0,3,,,,,,InternetArtificial IntelligenceRoboticsAutonomous VehiclesNavigationMarine TechnologyMarine Transportation
Indaco Venture Partners,,0,,indaco-venture-partners,https://unicorn-nest.com/funds/indaco-venture-partners,Venture Capital,Active,35,0,25,4.38,7,0.26,3,Early Stage VentureLate Stage Venture,AutomotiveBiotechnologyTransportationSoftwareInformation TechnologyHealth CareAerospaceCyber SecurityMedicalFleet Management
Inertia Ventures,,0,,inertia-ventures,https://unicorn-nest.com/funds/inertia-ventures,,,14,0,11,,,0.21,,SeedEarly Stage VentureLate Stage Venture,Real EstateSoftwareFinancial ServicesFinTechMarketplaceComputer VisionPaaSProperty ManagementAugmented RealityReal Estate Investment
Ingenium Slovenia Fund,,0,,ingenium-slovenia-fund,https://unicorn-nest.com/funds/ingenium-slovenia-fund,,,8,0,7,,7,0.12,,SeedEarly Stage Venture,E-CommerceSoftwareHealth CareBig DataManufacturingMarketplaceFashionInternet of ThingsArtDiabetes
Innogest Capital,,0,,innogest-capital,https://unicorn-nest.com/funds/innogest-capital,Venture Capital,Active,67,0,43,3.72,15,0.36,6,Early Stage Venture,BiotechnologyE-CommerceMobileHealth CareHospitalMedical DeviceMedicalFashionSustainabilityRecycling
Innovacom,,0,,innovacom,https://unicorn-nest.com/funds/innovacom,Venture Capital,Active,164,0,102,4.56,26,0.38,42,SeedEarly Stage VentureLate Stage Venture,InternetSoftwareInformation TechnologyMobileArtificial IntelligenceManufacturingConsumer ElectronicsElectronicsTelecommunicationsWireless
Insight Partners,,0,,insight-partners,https://unicorn-nest.com/funds/insight-partners,,,,0,,,,,,,
Intel Capital,,0,,intel-capital,https://unicorn-nest.com/funds/intel-capital,,,1622,0,1048,49.15,242,0.35,433,SeedEarly Stage VentureLate Stage Venture,InternetSoftwareAnalyticsInformation TechnologyMobileArtificial IntelligenceEnterprise SoftwareManufacturingSemiconductorTelecommunications
Investessor,,0,,investessor,https://unicorn-nest.com/funds/investessor,,,36,0,32,1.38,10,0.11,3,SeedPrivate EquityEarly Stage Venture,InternetSoftwareMobileCar SharingAppsEducationReal TimeMusicNavigationRide Sharing
Invitalia,,0,,invitalia,https://unicorn-nest.com/funds/invitalia,,,33,0,30,1.94,4,0.06,,,E-CommerceSoftwareInformation TechnologyArtificial IntelligenceMachine LearningSaaSBig DataInternet of ThingsTravelTourism
Isabel Group,,0,,isabel-group,https://unicorn-nest.com/funds/isabel-group,,,,0,,,,,,,
Isai,,0,,isai,https://unicorn-nest.com/funds/isai,Venture Capital,Active,142,0,84,10.14,37,0.40,13,SeedPrivate EquityEarly Stage VentureLate Stage Venture,E-CommerceInternetSoftwareAnalyticsInformation TechnologyOnline PortalsHealth CareSaaSAdvertisingTravel
Isaigo Capital,,0,,isaigo-capital,https://unicorn-nest.com/funds/isaigo-capital,,,,0,,,,,,,
Jckenwood Corp.,,0,,jckenwood-corp,https://unicorn-nest.com/funds/jckenwood-corp,,,,0,,,,,,,
Jcuve Investment,,0,,jcuve-investment,https://unicorn-nest.com/funds/jcuve-investment,,,,0,,,,,,,
Jk&B Capital,,0,,jkb-capital,https://unicorn-nest.com/funds/jkb-capital,Venture Capital,Active,115,0,67,4.11,20,0.42,37,Early Stage VentureLate Stage Venture,InternetSoftwareInformation TechnologyMobileSaaSEnterprise SoftwareManufacturingSecurityTelecommunicationsWireless
Join Capital,,0,,join-capital,https://unicorn-nest.com/funds/join-capital,Venture Capital,Active,39,0,24,4.33,11,0.38,1,SeedEarly Stage Venture,SoftwareInformation TechnologyB2BArtificial IntelligenceSaaSEnterprise SoftwareManufacturingDeveloper ToolsIndustrial AutomationMechanical Engineering
Jpmorgan Chase&Co,,0,,jpmorgan-chaseco,https://unicorn-nest.com/funds/jpmorgan-chaseco,,,,0,,,,,,,
Karista,,0,,karista,https://unicorn-nest.com/funds/karista,Venture Capital,Active,149,0,91,6.48,9,0.38,25,SeedEarly Stage VentureLate Stage Venture,BiotechnologySoftwareInformation TechnologyMobileArtificial IntelligenceHealth CareSaaSMedical DeviceMedicalTherapeutics
Kerala Ventures,,0,,kerala-ventures,https://unicorn-nest.com/funds/kerala-ventures,Venture Capital,Active,23,0,14,2.56,10,0.39,,SeedEarly Stage Venture,InternetSoftwareInformation TechnologyRentalMachine LearningHealth CareHospitalSaaSMedicalDigital Media
Kibo Ventures,,0,,kibo-ventures,https://unicorn-nest.com/funds/kibo-ventures,Venture Capital,Active,117,0,71,9.75,18,0.39,14,SeedEarly Stage VentureLate Stage Venture,E-CommerceSoftwareFinTechInformation TechnologyMobileArtificial IntelligenceMachine LearningSaaSBig DataMarketplace
Kima Ventures,,0,,kima-ventures,https://unicorn-nest.com/funds/kima-ventures,,,,0,,,,,,,
Labrador Ventures,,0,,labrador-ventures,https://unicorn-nest.com/funds/labrador-ventures,,,115,0,61,3.38,20,0.47,38,Early Stage VentureLate Stage Venture,InternetSoftwareInformation TechnologyMobileManufacturingSecurityHardwareVideoAdvertisingWireless
Lagniappe Angels,,0,,lagniappe-angels,https://unicorn-nest.com/funds/lagniappe-angels,,,2,0,2,,,,,,BiotechnologyHealth CareMedicalLife ScienceNeurosciencePharmaceuticalTherapeuticsBiopharma
Latitude Ventures,,0,,latitude-ventures,https://unicorn-nest.com/funds/latitude-ventures,,,6,0,6,,,,,,SoftwareFinTechAnalyticsInformation TechnologyPaymentsArtificial IntelligenceMachine LearningSaaSBig DataPredictive Analytics
Lbo France,,0,,lbo-france,https://unicorn-nest.com/funds/lbo-france,Private equity,Active,29,0,22,0.74,7,0.24,1,Private Equity,BiotechnologyInternetSoftwareHealth CareHealth DiagnosticsGeneticsMedical DeviceMedicalPharmaceuticalClinical Trials
Le Club Startup,,0,,le-club-startup,https://unicorn-nest.com/funds/le-club-startup,,,,0,,,,,,,
Leucosia Capital,,0,,leucosia-capital,https://unicorn-nest.com/funds/leucosia-capital,,,,0,,,,,,,
Liftt,,0,,liftt,https://unicorn-nest.com/funds/liftt,Venture Capital,Active,55,0,43,,6,0.22,,,BiotechnologyE-CommerceSoftwareInformation TechnologyArtificial IntelligenceHealth CareMedical DeviceMedicalLifestyleE-Commerce Platforms
Loire Valley Invest,,0,,loire-valley-invest,https://unicorn-nest.com/funds/loire-valley-invest,,,,0,,,,,,,
Ludwig S.R.L.,,0,,ludwig-srl,https://unicorn-nest.com/funds/ludwig-srl,,,,0,,,,,,,
Lventure Group,,0,,lventure-group,https://unicorn-nest.com/funds/lventure-group,Venture Capital,Active,167,0,94,13.92,27,0.44,6,SeedEarly Stage VentureLate Stage Venture,E-CommerceInternetSoftwareInformation TechnologyMobileArtificial IntelligenceSaaSAppsMarketplaceInternet of Things
Madison Parker Capital,,0,,madison-parker-capital,https://unicorn-nest.com/funds/madison-parker-capital,,,10,0,9,0.62,,0.10,4,SeedPrivate EquityEarly Stage Venture,AutomotiveBeautyWellnessProductivity ToolsEnterprise SoftwareRestaurantsManufacturingConsumer ElectronicsElectric VehicleSmart Cities
Maki Vc,,0,,maki-vc,https://unicorn-nest.com/funds/maki-vc,Venture Capital,Active,72,0,43,12.00,19,0.40,,SeedEarly Stage Venture,E-CommerceSoftwareFinancial ServicesAnalyticsInformation TechnologyArtificial IntelligenceHealth CareSaaSMedicalHardware
Manutara Ventures,,0,,manutara-ventures,https://unicorn-nest.com/funds/manutara-ventures,Venture Capital,Active,19,0,14,,7,0.26,,Early Stage Venture,E-CommerceSoftwareFinancial ServicesFinTechInformation TechnologyInformation ServicesArtificial IntelligenceAppsBitcoinCryptocurrency
Mcapital,,0,,mcapital,https://unicorn-nest.com/funds/mcapital,,,,0,,,,,,,
Microsoft Accelerator Paris,,0,,microsoft-accelerator-paris,https://unicorn-nest.com/funds/microsoft-accelerator-paris,,,74,0,73,8.22,,0.01,6,SeedEarly Stage Venture,E-CommerceInternetSoftwareInformation TechnologyB2BMobileArtificial IntelligenceSaaSEnterprise SoftwareSocial Media
Microsoft Climate Innovation Fund,,0,,microsoft-climate-innovation-fund,https://unicorn-nest.com/funds/microsoft-climate-innovation-fund,,,45,0,35,,1,0.22,,,SoftwareAnalyticsInformation TechnologyManufacturingCleanTechEnergyRenewable EnergyEnergy EfficiencyClean EnergyFuel
Milano Investment Partners,,0,,milano-investment-partners,https://unicorn-nest.com/funds/milano-investment-partners,Venture Capital,Active,32,0,17,5.33,3,0.47,,Early Stage VentureLate Stage Venture,E-CommerceConsumer GoodsRetailFood and BeverageFashionTravelTourismLeisureShoesAdventure Travel
Mol Plus,,0,,mol-plus,https://unicorn-nest.com/funds/mol-plus,,,6,0,5,,1,0.17,,SeedEarly Stage Venture,LogisticsFreight ServiceSupply Chain ManagementB2BAppsDeliveryEnergyE-Commerce PlatformsShippingCourier Service
Motion Ventures,,0,,motion-ventures,https://unicorn-nest.com/funds/motion-ventures,Venture Capital,Active,16,0,16,5.33,2,,,Early Stage Venture,LogisticsFreight ServiceSupply Chain ManagementSoftwareInformation TechnologyArtificial IntelligenceSaaSFleet ManagementShippingMarine Transportation
Myrtus Venture,,0,,myrtus-venture,https://unicorn-nest.com/funds/myrtus-venture,,,2,0,2,1.00,,,,,SoftwareSaaSAppsEnterprise SoftwareCyber SecuritySecurity
Naxicap Partners,,0,,naxicap-partners,https://unicorn-nest.com/funds/naxicap-partners,Private equity,Active,121,0,109,2.28,9,0.10,28,Early Stage VentureLate Stage Venture,Real EstateSoftwareRetailInformation TechnologyFood ProcessingHealth CareRestaurantsManufacturingIndustrialHotel
Nci Gestion,,0,,nci-gestion,https://unicorn-nest.com/funds/nci-gestion,,,31,0,29,1.35,8,0.06,1,SeedPrivate EquityEarly Stage Venture,BiotechnologyCommercialE-CommerceInternetRetailInformation TechnologyHealth CareManufacturingHome and GardenLandscaping
Neotec Capital Riesgo,,0,,neotec-capital-riesgo,https://unicorn-nest.com/funds/neotec-capital-riesgo,,,11,0,9,0.69,1,0.18,2,Early Stage Venture,SoftwareInformation TechnologyFood and BeverageFood ProcessingCyber SecurityNetwork SecuritySecurityCloud ComputingOpen SourceDeveloper APIs
Newfund Capital,,0,,newfund-capital,https://unicorn-nest.com/funds/newfund-capital,Venture Capital,Active,192,0,146,12.00,72,0.24,22,SeedEarly Stage Venture,InternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceMachine LearningHealth CareSaaSEnterprise Software
Nordic Venture Partners (Sweden),,0,,nordic-venture-partners-sweden,https://unicorn-nest.com/funds/nordic-venture-partners-sweden,,,31,0,22,1.41,3,0.29,14,Early Stage VentureLate Stage Venture,InternetSoftwareInformation TechnologyMobileGamingHealth CareSemiconductorConsumer ElectronicsElectronicsWireless
Normandie Participations,,0,,normandie-participations,https://unicorn-nest.com/funds/normandie-participations,Venture Capital,Active,36,0,29,4.50,3,0.19,,,BiotechnologyReal EstateSoftwareInformation TechnologyHealth CareCyber SecuritySecurityMedicalService IndustryInnovation Management
Normandie Seine Participations,,0,,normandie-seine-participations,https://unicorn-nest.com/funds/normandie-seine-participations,,,,0,,,,,,,
North Energy Ventures,,0,,north-energy-ventures,https://unicorn-nest.com/funds/north-energy-ventures,,,,0,,,,,,,
Novinvest Partners,,0,,novinvest-partners,https://unicorn-nest.com/funds/novinvest-partners,,,1,0,1,,1,,,,Artificial IntelligenceConsulting
Oak Capital,,0,,oak-capital,https://unicorn-nest.com/funds/oak-capital,,,6,0,5,0.55,,0.17,1,Early Stage Venture,InternetMobilePC GamesFood and BeverageFood ProcessingMarketplaceCreditVideo GamesHome ServicesSeafood
Omnes Capital,,0,,omnes-capital,https://unicorn-nest.com/funds/omnes-capital,Venture Capital,Active,256,0,201,10.24,39,0.21,85,SeedPrivate EquityEarly Stage VentureLate Stage Venture,BiotechnologyE-CommerceSoftwareInformation TechnologyHealth CareManufacturingMedical DevicePharmaceuticalTherapeuticsEnergy
Ouest Ventures,,0,,ouest-ventures,https://unicorn-nest.com/funds/ouest-ventures,,,,0,,,,,,,
Ovive,,0,,ovive,https://unicorn-nest.com/funds/ovive,,,4,0,3,0.16,,0.25,,,Information TechnologyRenewable EnergyAgricultureMiningEnvironmental EngineeringWater PurificationEnergy Management
Ovni Vc,,0,,ovni-vc,https://unicorn-nest.com/funds/ovni-vc,,,,0,,,,,,,
P101,,0,,p101,https://unicorn-nest.com/funds/p101,Venture Capital,Active,101,0,54,9.18,37,0.47,10,Early Stage Venture,E-CommerceInternetSoftwareRetailInformation TechnologyMobileFood and BeverageFashionTravelHospitality
Paca Investissement,,0,,paca-investissement,https://unicorn-nest.com/funds/paca-investissement,,,74,0,67,,13,0.09,4,Seed,InternetSoftwareEnterprise SoftwareManufacturingElectronicsInternet of ThingsEnergyRenewable EnergyEnvironmental EngineeringMarine Technology
Panakès Partners,,0,,panaks-partners,https://unicorn-nest.com/funds/panaks-partners,,,,0,,,,,,,
Partech,,0,,partech,https://unicorn-nest.com/funds/partech,Venture Capital,Active,569,0,351,13.55,111,0.38,80,SeedPrivate EquityEarly Stage VentureLate Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyMobileArtificial IntelligenceSaaSEnterprise Software
Pays De La Loire Developpement,,0,,pays-de-la-loire-developpement,https://unicorn-nest.com/funds/pays-de-la-loire-developpement,,,3,0,3,,,,,,Information TechnologyVirtual RealityProfessional ServicesService IndustryOperating SystemsMarine Technology
Pays De La Loire Participations,,0,,pays-de-la-loire-participations,https://unicorn-nest.com/funds/pays-de-la-loire-participations,,Active,42,0,35,,1,0.17,1,,BiotechnologyE-CommerceInternetSoftwareManufacturingMedicalElectronicsData VisualizationElectric VehicleMachinery Manufacturing
Pgim,,0,,pgim,https://unicorn-nest.com/funds/pgim,,,,0,,,,,,,
Pi Campus,,0,,pi-campus,https://unicorn-nest.com/funds/pi-campus,Venture Capital,Active,51,0,41,3.00,2,0.20,5,SeedEarly Stage Venture,BiotechnologyE-CommerceTransportationSoftwareMobileHealth CareAerospaceMedicalMarketplaceLife Science
Pi Labs,,0,,pi-labs,https://unicorn-nest.com/funds/pi-labs,Other,Active,35,0,5,5.83,8,0.08,,SeedEarly Stage Venture,Real EstateAnalyticsSaaSInternet of ThingsCommercial Real EstateHospitalityPredictive AnalyticsRental PropertyEnvironmental ConsultingProperty Development
Picus Capital,,0,,picus-capital,https://unicorn-nest.com/funds/picus-capital,Venture Capital,Active,302,0,156,33.56,26,0.48,5,SeedEarly Stage Venture,Real EstateInternetSoftwareFinancial ServicesFinTechInformation TechnologyHuman ResourcesFinanceArtificial IntelligenceSaaS
Plug And Play Tech Center,,0,,plug-and-play-tech-center,https://unicorn-nest.com/funds/plug-and-play-tech-center,,,1895,0,1435,105.28,126,0.23,104,SeedEarly Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceMachine LearningHealth CareSaaS
Primo Ventures,,0,,primo-ventures,https://unicorn-nest.com/funds/primo-ventures,Venture Capital,Active,,0,,,,,,,
Proptech I,,0,,proptech-i,https://unicorn-nest.com/funds/proptech-i,,,,0,,,,,,,
Proptech1,,0,,proptech1,https://unicorn-nest.com/funds/proptech1,,,,0,,,,,,,
Rainmaking Impact,,0,,rainmaking-impact,https://unicorn-nest.com/funds/rainmaking-impact,Angel Group/Syndicate,Active,5,0,5,2.50,,,,,BiotechnologyTransportationSoftwareInformation TechnologyMobileInformation ServicesArtificial IntelligenceMachine LearningHealth CareCyber Security
Qiming Venture Partners,,0,,qiming-venture-partners,https://unicorn-nest.com/funds/qiming-venture-partners,Venture Capital,Active,967,0,522,53.72,223,0.45,55,Private EquityEarly Stage VentureLate Stage Venture,BiotechnologyInternetSoftwareInformation TechnologyArtificial IntelligenceHealth CareManufacturingMedical DeviceMedicalPharmaceutical
Qualitas Equity Partners,,0,,qualitas-equity-partners,https://unicorn-nest.com/funds/qualitas-equity-partners,,,8,0,7,0.42,1,0.12,2,Early Stage Venture,Business/Productivity SoftwareMedia and Information Services (B2B)Information Services (B2C)E-CommerceRetailMarketplaceShoppingEmploymentE-Commerce PlatformsStaffing Agency
Raise Impact,,0,,raise-impact,https://unicorn-nest.com/funds/raise-impact,Private equity,Active,6,0,6,,1,,,Early Stage Venture,BiotechnologySaaSManufacturingConsultingRenewable EnergySolarAnimal FeedElectric VehicleAgricultureWater Purification
Raise Ventures,,0,,raise-ventures,https://unicorn-nest.com/funds/raise-ventures,,,34,0,21,3.40,2,0.35,,Early Stage Venture,Financial ServicesFinTechAnalyticsInformation TechnologyB2BEnterpriseBankingMarketingEventsGreenTech
Rancillo Cube,,0,,rancillo-cube,https://unicorn-nest.com/funds/rancillo-cube,,,,0,,,,,,,
Rarebreed Ventures,,0,,rarebreed-ventures,https://unicorn-nest.com/funds/rarebreed-ventures,,,2,0,2,,,,,,Consumer GoodsHealth CareWellnessMedicalFamilyMen's
Rdc - Rafae Development Corporation,,0,,rdc---rafae-development-corporation,https://unicorn-nest.com/funds/rdc---rafae-development-corporation,,,,0,,,,,,,
