Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Type,Status,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Follow on index,Exits,Stages of investment,Areas of investment
Blackstone Group,,0,,blackstone-group,https://unicorn-nest.com/funds/blackstone-group,,,213,0,173,5.46,68,0.19,57,SeedPrivate EquityEarly Stage VentureLate Stage Venture,SoftwareFinancial ServicesInformation TechnologyFinanceHealth CareEnterprise SoftwareCyber SecurityNetwork SecuritySecurityEnergy
BNP Paribas Real Estate,,0,,bnp-paribas-real-estate,https://unicorn-nest.com/funds/bnp-paribas-real-estate,,,,0,,,,,,,
CBRE Group,,0,,cbre-group,https://unicorn-nest.com/funds/cbre-group,Other,Active,15,0,12,0.13,2,0.20,2,Early Stage Venture,Real EstateArtificial IntelligenceSaaSEnterprise SoftwareReal TimeConstructionEnergyRenewable EnergySmart BuildingEnergy Efficiency
Deutsche Wohnen Ventures,,0,,deutsche-wohnen-ventures,https://unicorn-nest.com/funds/deutsche-wohnen-ventures,,,,0,,,,,,,
Goldman Sachs,,0,,goldman-sachs,https://unicorn-nest.com/funds/goldman-sachs,Corporate investor,Active,1089,0,798,7.03,262,0.26,303,SeedPrivate EquityEarly Stage VentureLate Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyFinanceHealth CareEnterprise SoftwareManufacturing
Index Ventures,,0,,index-ventures,https://unicorn-nest.com/funds/index-ventures,Venture Capital,Active,1182,0,623,42.21,290,0.47,199,SeedEarly Stage VentureLate Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechAnalyticsInformation TechnologyMobileSaaSEnterprise Software
J.P. Morgan Asset Management,,0,,jp-morgan-asset-management,https://unicorn-nest.com/funds/jp-morgan-asset-management,,,,0,,,,,,,
JLL Spark,,0,,jll-spark,https://unicorn-nest.com/funds/jll-spark,CVC,Active,66,0,36,9.43,10,0.45,,Early Stage Venture,Real EstateSoftwareInformation TechnologyArtificial IntelligenceMachine LearningSaaSMobile AppsMarketplaceConstructionCommercial Real Estate
MetaProp NYC,,0,,metaprop-nyc,https://unicorn-nest.com/funds/metaprop-nyc,Venture Capital,Active,173,0,118,19.22,21,0.31,12,SeedEarly Stage Venture,Real EstateSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceMachine LearningSaaSConstructionProperty Management
Mitsubishi Estate’s Diamond Realty Management,,0,,mitsubishi-estates-diamond-realty-management,https://unicorn-nest.com/funds/mitsubishi-estates-diamond-realty-management,,,,0,,,,,,,
Mosaic Ventures,,0,,mosaic-ventures,https://unicorn-nest.com/funds/mosaic-ventures,Venture Capital,Active,89,0,62,8.90,10,0.30,16,Early Stage Venture,InternetSoftwareFinancial ServicesFinTechInformation TechnologyFinanceSaaSAppsComputerCryptocurrency
Plug and Play Real Estate & Construction,,0,,plug-and-play-real-estate--construction,https://unicorn-nest.com/funds/plug-and-play-real-estate--construction,,,,0,,,,,,,
Prologis,,0,,prologis,https://unicorn-nest.com/funds/prologis,,,17,0,12,1.42,1,0.29,,Private EquityEarly Stage Venture,LogisticsE-CommerceTransportationSoftwareAnalyticsInformation TechnologySaaSEnterprise SoftwareComputerFleet Management
Sequoia Capital,,0,,sequoia-capital,https://unicorn-nest.com/funds/sequoia-capital,Venture Capital,Active,2013,0,1057,38.71,279,0.47,315,Early Stage VentureLate Stage Venture,E-CommerceInternetSoftwareFinancial ServicesAnalyticsInformation TechnologyMobileArtificial IntelligenceSaaSEnterprise Software
SoftBank Vision Fund,,0,,softbank-vision-fund,https://unicorn-nest.com/funds/softbank-vision-fund,,,,0,,,,,,,
Temasek Holdings,,0,,temasek-holdings,https://unicorn-nest.com/funds/temasek-holdings,Hedge fund,Active,589,0,394,11.78,119,0.33,80,,BiotechnologyE-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyArtificial IntelligenceFood and BeverageHealth Care
Siloé Infrastructures,,0,,silo-infrastructures,https://unicorn-nest.com/funds/silo-infrastructures,,,,0,,,,,,,
DST Global,,0,,dst-global,https://unicorn-nest.com/funds/dst-global,Venture Capital,Active,267,0,158,17.80,60,0.38,25,Late Stage Venture,LogisticsE-CommerceInternetSoftwareFinancial ServicesFinTechPaymentsFinanceBankingFood Delivery
EDF Pulse Invest,,0,,edf-pulse-invest,https://unicorn-nest.com/funds/edf-pulse-invest,,,,0,,,,,,,
Eiffel Investment Group,,0,,eiffel-investment-group,https://unicorn-nest.com/funds/eiffel-investment-group,Private equity,Active,28,0,23,1.87,4,0.18,1,Private Equity,InternetSoftwareFinancial ServicesFinTechInformation TechnologyFinanceEnterprise SoftwarePeer to PeerRenewable EnergySolar
Entrepreneur Invest,,0,,entrepreneur-invest,https://unicorn-nest.com/funds/entrepreneur-invest,,Active,5,0,5,0.21,1,,,,InternetSoftwareInformation TechnologyOnline PortalsEnterprise SoftwareSoftware EngineeringBrand MarketingEnvironmental EngineeringContent MarketingEnergy Management
EREN Groupe,,0,,eren-groupe,https://unicorn-nest.com/funds/eren-groupe,Private equity,,8,0,6,0.67,1,0.25,,,Real EstateSoftwareInformation TechnologyManufacturingEnergyRenewable EnergyService IndustrySolarEnergy EfficiencyEnergy Management
Extension Fund,,0,,extension-fund,https://unicorn-nest.com/funds/extension-fund,Venture Capital,Active,21,0,16,7.00,,0.19,,SeedEarly Stage Venture,SoftwareB2BArtificial IntelligenceFood and BeverageWellnessSaaSRestaurantsLifestyleInsuranceLife Insurance
Felix Capital,,0,,felix-capital,https://unicorn-nest.com/funds/felix-capital,Venture Capital,Active,119,0,61,11.90,25,0.47,3,Early Stage VentureLate Stage Venture,E-CommerceSoftwareFood and BeverageHealth CareWellnessSaaSAppsDeliveryFashionShopping
Heartcore Capital,,0,,heartcore-capital,https://unicorn-nest.com/funds/heartcore-capital,Venture Capital,Active,196,0,93,11.53,34,0.53,16,SeedEarly Stage Venture,E-CommerceSoftwareFinTechAnalyticsArtificial IntelligenceMachine LearningHealth CareSaaSAppsTravel
Kreos Capital,,0,,kreos-capital,https://unicorn-nest.com/funds/kreos-capital,,,,0,,,,,,,
MeilleursAgents,,0,,meilleursagents,https://unicorn-nest.com/funds/meilleursagents,,,,0,,,,,,,
newAlpha Asset anagement,,0,,newalpha-asset-anagement,https://unicorn-nest.com/funds/newalpha-asset-anagement,,,,0,,,,,,,
Samalpata,,0,,samalpata,https://unicorn-nest.com/funds/samalpata,,,,0,,,,,,,
Swen Capital Pertners,,0,,swen-capital-pertners,https://unicorn-nest.com/funds/swen-capital-pertners,,,,0,,,,,,,
Tomcat Invest,,0,,tomcat-invest,https://unicorn-nest.com/funds/tomcat-invest,,Active,,0,,,,,,,
Industrifonden,,0,,industrifonden,https://unicorn-nest.com/funds/industrifonden,Venture Capital,Active,200,0,121,4.44,45,0.40,27,SeedEarly Stage Venture,BiotechnologyE-CommerceSoftwareInformation TechnologyHealth CareSaaSEnterprise SoftwareBig DataManufacturingMedical
Almi Invest,,0,,almi-invest,https://unicorn-nest.com/funds/almi-invest,Venture Capital,Active,619,0,507,41.27,131,0.18,26,Seed,BiotechnologyInternetSoftwareInformation TechnologyHealth CareManufacturingMedical DeviceMedicalPharmaceuticalElectronics
Vinnova,,0,,vinnova,https://unicorn-nest.com/funds/vinnova,Government organization,Active,67,0,51,2.91,25,0.24,8,Grant,BiotechnologySoftwareArtificial IntelligenceFood and BeverageFood ProcessingMachine LearningHealth CareSaaSMedicalPharmaceutical
Zenith Capital,,0,,zenith-capital,https://unicorn-nest.com/funds/zenith-capital,,,,0,,,,,,,
Atomico Sweden,,0,,atomico-sweden,https://unicorn-nest.com/funds/atomico-sweden,,,,0,,,,,,,
Northzone,,0,,northzone,https://unicorn-nest.com/funds/northzone,Venture Capital,Active,307,0,162,10.96,84,0.47,42,SeedEarly Stage Venture,E-CommerceInternetSoftwareFinancial ServicesFinTechInformation TechnologyMobileFinanceSaaSApps
Monterro,,0,,monterro,https://unicorn-nest.com/funds/monterro,,,3,0,3,0.33,2,,,,SoftwareInformation TechnologySaaSEnterprise SoftwareCyber SecuritySecurityService IndustryDatabaseCloud SecurityIdentity Management
J12,,0,,j12,https://unicorn-nest.com/funds/j12,,,,0,,,,,,,
Inventure,,0,,inventure,https://unicorn-nest.com/funds/inventure,Venture Capital,Active,151,0,92,7.95,29,0.39,12,SeedEarly Stage Venture,InternetSoftwareFinancial ServicesAnalyticsInformation TechnologyMobileArtificial IntelligenceMachine LearningHealth CareSaaS
Norrsken VC,,0,,norrsken-vc,https://unicorn-nest.com/funds/norrsken-vc,,,98,0,60,14.00,22,0.36,,Early Stage Venture,LogisticsBiotechnologyE-CommerceSoftwareFinancial ServicesFinTechFood and BeverageHealth CareMedicalCleanTech
