Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6,Market Cap (Billion USD)
275,Keyrus SA,$129.0 M,France,French Technology,French Information Technology Services,,0.13
276,Societe Centrale des Bois et Scieries de la Manche SA,$127.8 M,France,French Real Estate,French REIT—Diversified,,0.13
277,La Française de l'Energie SA,$127.1 M,France,French Energy,French Oil & Gas E&P,,0.13
278,Piscines Desjoyaux SA,$127.0 M,France,French Consumer Discretionary,French Leisure,,0.13
279,Vranken-Pommery Monopole SA,$120.6 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,0.12
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
280,AB Science SA,$119.8 M,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,,0.12
281,Crosswood,$119.5 M,France,French Real Estate,French Real Estate Services,,0.12
282,Fleury Michon SA,$117.4 M,France,French Consumer Staples,French Packaged Foods,,0.12
283,Latécoère SA,"$117.2 M  (July 1, 2023)",France,French Industrials,French Aerospace & Defense,,0.12
284,Carbios SAS,$116.3 M,France,French Basic Materials,French Specialty Chemicals,,0.12
285,PCAS SA,"$116.3 M  (July 1, 2023)",France,French Basic Materials,French Chemicals,,0.12
286,Guillemot Corp SA,$111.5 M,France,French Technology,French Computer Hardware,,0.11
287,EuropaCorp,"$109.6 M  (Nov. 1, 2021)",France,French Communication Services,French Entertainment,,0.11
288,Oncodesign,"$105.0 M  (Dec. 1, 2022)",France,French Healthcare,French Biotechnology,,0.1
289,Eurofins-Cerep,$102.9 M,France,French Healthcare,French Drug Manufacturers—General,,0.1
290,Gascogne,$100.4 M,France,French Consumer Discretionary,French Packaging & Containers,,0.1
291,Ucar,"$98.9 M  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,,0.1
292,Cie Lebon SA,"$98.0 M  (April 1, 2023)",France,French Financials,French Asset Management,,0.1
293,Adocia SA,$97.8 M,France,French Healthcare,French Biotechnology,,0.1
294,Transgene SA,$97.0 M,France,French Healthcare,French Biotechnology,,0.1
295,MGI Digital Technology SA,$96.7 M,France,French Industrials,French Specialty Business Services,,0.1
296,Installux SA,$94.2 M,France,French Basic Materials,French Aluminum,,0.09
297,NSE,$93.8 M,France,French Technology,French Scientific & Technical Instruments,,0.09
298,Ekinops SA,$91.8 M,France,French Technology,French Communication Equipment,,0.09
299,Jacques Bogart SA,$91.7 M,France,French Consumer Staples,French Household & Personal Products,,0.09
300,Streamwide SA,$91.7 M,France,French Technology,French Software—Application,,0.09
301,Voluntis SA,"$91.3 M  (Oct. 1, 2021)",France,French Healthcare,French Health Information Services,,0.09
302,Median Technologies SA,$89.9 M,France,French Healthcare,French Diagnostics & Research,,0.09
303,Bilendi,$88.2 M,France,French Communication Services,French Advertising Agencies,,0.09
304,Societe de la Tour Eiffel,$88.1 M,France,French Real Estate,French REIT—Office,,0.09
305,Crossject SA,$86.4 M,France,French Healthcare,French Medical Instruments & Supplies,,0.09
306,Foncière Vindi SA,$86.4 M,France,French Real Estate,French Real Estate Services,,0.09
307,Tipiak SA,"$85.9 M  (July 1, 2024)",France,French Consumer Staples,French Packaged Foods,,0.09
308,Sequans Communications SA,$85.7 M,France,French Technology,French Semiconductors,,0.09
309,Hoffmann Green Cement Technologies SA,$85.3 M,France,French Basic Materials,French Building Materials,,0.09
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
310,Haulotte Group SA,$84.6 M,France,French Industrials,French Farm & Heavy Construction Machinery,,0.08
311,SRP Groupe SA,$84.1 M,France,French Consumer Discretionary,French Internet Retail,,0.08
312,Fonciere Volta SA,$83.9 M,France,French Real Estate,French Real Estate Services,,0.08
313,GEA,$83.4 M,France,French Industrials,French Business Equipment & Supplies,,0.08
314,Abeo SA,$82.7 M,France,French Consumer Discretionary,French Leisure,,0.08
315,ST Dupont SA,$82.5 M,France,French Consumer Discretionary,French Luxury Goods,,0.08
316,Prodware,$82.0 M,France,French Technology,French Software—Application,,0.08
317,Paragon ID SA,"$81.2 M  (July 1, 2023)",France,French Technology,French Semiconductors,,0.08
318,EDAP TMS SA,$80.5 M,France,French Healthcare,French Medical Devices,,0.08
319,ADLPartner,"$80.4 M  (Oct. 1, 2021)",France,French Communication Services,French Advertising Agencies,,0.08
320,Poujoulat SA,$79.0 M,France,French Industrials,French Building Products & Equipment,,0.08
321,Mr. Bricolage SA,$77.7 M,France,French Consumer Discretionary,French Home Improvement Retail,,0.08
322,Claranova SE,$77.5 M,France,French Technology,French Software—Application,,0.08
323,Arcadia Worldwide Ltd,$77.4 M,France,French Communication Services,French Electronic Gaming & Multimedia,,0.08
324,Videlio,"$75.6 M  (July 1, 2021)",France,French Technology,French Communication Equipment,,0.08
325,Reworld Media SA,$74.9 M,France,French Communication Services,French Advertising Agencies,,0.07
326,Cie Industrielle et Financiere D'Entreprises,$74.6 M,France,French Industrials,French Engineering & Construction,,0.07
327,Groupe LDLC societe anonyme,$73.0 M,France,French Consumer Discretionary,French Specialty Retail,,0.07
328,Herige,$73.0 M,France,French Basic Materials,French Building Materials,,0.07
329,Montagne et Neige Développement SA,"$71.8 M  (Sept. 1, 2021)",France,French Consumer Discretionary,French Leisure,,0.07
330,DBV Technologies SA,$70.7 M,France,French Healthcare,French Biotechnology,,0.07
331,Wallix Group,$69.8 M,France,French Technology,French Software—Infrastructure,,0.07
332,Catering International & Services SA,$68.8 M,France,French Industrials,French Specialty Business Services,,0.07
333,Fonciere Paris Nord,$67.8 M,France,French Real Estate,French REIT—Office,,0.07
334,McPhy Energy SA,$67.7 M,France,French Industrials,French Specialty Industrial Machinery,,0.07
335,1000mercis,$67.5 M,France,French Communication Services,French Advertising Agencies,,0.07
336,CeGeREAL,$67.2 M,France,French Real Estate,French REIT—Office,,0.07
337,Saint Jean Groupe SA,$66.6 M,France,French Consumer Staples,French Packaged Foods,,0.07
338,Les Docks des Petroles d'Ambes SA,$65.1 M,France,French Energy,French Oil & Gas Refining & Marketing,,0.07
339,SergeFerrari Group SA,$64.8 M,France,French Industrials,French Building Products & Equipment,,0.06
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
340,Sogeclair,"$64.5 M  (July 1, 2023)",France,French Industrials,French Aerospace & Defense,,0.06
341,Fiducial Office Solutions,$63.2 M,France,French Industrials,French Business Equipment & Supplies,,0.06
342,Damartex SA,$61.8 M,France,French Consumer Discretionary,French Apparel Retail,,0.06
343,Paref SA,$61.7 M,France,French Real Estate,French REIT—Diversified,,0.06
344,Affluent Medical SA,$61.1 M,France,French Healthcare,French Medical Devices,,0.06
345,Focus Home Interactive SA,$60.1 M,France,French Communication Services,French Electronic Gaming & Multimedia,,0.06
346,Les Agences de Papa SA,"$59.2 M  (July 1, 2023)",France,French Real Estate,French Real Estate Services,,0.06
347,ATEME SA,$59.2 M,France,French Technology,French Communication Equipment,,0.06
348,Actia Group,$56.5 M,France,French Consumer Discretionary,French Auto Parts,,0.06
349,Visiomed Group SA,$55.3 M,France,French Healthcare,French Medical Instruments & Supplies,,0.06
350,ADA,"$54.9 M  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,,0.05
351,Baikowski SA,$54.7 M,France,French Basic Materials,French Chemicals,,0.05
352,MRM,"$54.4 M  (July 1, 2024)",France,French Real Estate,French REIT—Diversified,,0.05
353,Groupe Parot SACA,"$54.0 M  (July 1, 2024)",France,French Consumer Discretionary,French Auto & Truck Dealerships,,0.05
354,Genkyotex SA,"$53.6 M  (Sept. 1, 2021)",France,French Healthcare,French Biotechnology,,0.05
355,ERYTECH Pharma SA,"$53.1 M  (July 1, 2023)",France,French Healthcare,French Biotechnology,,0.05
356,Capelli,"$52.3 M  (June 1, 2022)",France,French Real Estate,French Real Estate—Development,,0.05
357,HighCo,$51.5 M,France,French Communication Services,French Advertising Agencies,,0.05
358,Le Tanneur & Cie Societe anonyme,"$51.3 M  (Nov. 1, 2022)",France,French Consumer Discretionary,French Footwear & Accessories,,0.05
359,Aurea SA,$51.1 M,France,French Industrials,French Waste Management,,0.05
360,Artea,$49.7 M,France,French Real Estate,French Real Estate Services,,0.05
361,Advini,$49.2 M,France,French Consumer Staples,French Beverages—Wineries & Distilleries,,0.05
362,Hydrogen-Refueling-Solutions SA,$48.9 M,France,French Consumer Discretionary,French Specialty Retail,,0.05
363,Carmat SA,$47.8 M,France,French Healthcare,French Medical Devices,,0.05
364,Hopscotch Groupe,$46.9 M,France,French Communication Services,French Advertising Agencies,,0.05
365,IT Link SA,$45.8 M,France,French Technology,French Information Technology Services,,0.05
366,Blue Shark Power System SACA,$44.9 M,France,French Utilities,French Utilities—Renewable,,0.04
367,Lacroix Group SA,$43.5 M,France,French Technology,French Scientific & Technical Instruments,,0.04
368,Delfingen Industry,$42.6 M,France,French Consumer Discretionary,French Auto Parts,,0.04
369,Evergreen SA,$40.8 M,France,French Financials,French Asset Management,,0.04
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
370,Plastiques du Val de Loire,$36.5 M,France,French Consumer Discretionary,French Auto Parts,,0.04
371,Prodways Group SA,$31.6 M,France,French Industrials,French Specialty Industrial Machinery,,0.03
372,2MX Organic SA,$30.6 M,France,French Financials,French Shell Companies,,0.03
373,BigBen Interactive,$29.4 M,France,French Technology,French Consumer Electronics,,0.03
374,TTI,"$28.4 M  (July 1, 2024)",France,French Technology,French Software—Application,,0.03
375,"MEMSCAP, SA",$27.0 M,France,French Technology,French Semiconductor Equipment & Materials,,0.03
376,Valbiotis SA,$22.2 M,France,French Healthcare,French Biotechnology,,0.02
377,Biosynex SA,$19.3 M,France,French Healthcare,French Diagnostics & Research,,0.02
378,Dont Nod Entertainment SA,$16.1 M,France,French Communication Services,French Electronic Gaming & Multimedia,,0.02
379,Réalités,$8.7 M,France,French Real Estate,French Real Estate Services,,0.01
380,Kalray SA,$7.7 M,France,French Technology,French Semiconductors,,0.01
381,Orpea SA,$1.8 M,France,French Healthcare,French Medical Care Facilities,,0.0
382,Aramis Group SAS,nan,France,French Consumer Discretionary,French Auto & Truck Dealerships,,
383,EPC Groupe,nan,France,French Basic Materials,French Specialty Chemicals,,
384,Accor Acquisition Company SA,nan,France,French Financials,French Shell Companies,,
385,Jsa Technology SA,nan,France,French Energy,French Oil & Gas Equipment & Services,,
386,FranceSoir Groupe SA,nan,France,French Technology,French Software—Infrastructure,,
387,Ardoin ST Amand A,nan,France,French Consumer Discretionary,French Auto & Truck Dealerships,,
388,AMA Corp PLC,nan,France,French Healthcare,French Health Information Services,,
389,Antin Infrastructure Partners SA,nan,France,French Financials,French Asset Management,,
390,Altheora SA,nan,France,French Industrials,French Electrical Equipment & Parts,,
391,Spartoo SAS,nan,France,French Consumer Discretionary,French Internet Retail,,
392,AFYREN SAS,nan,France,French Basic Materials,French Specialty Chemicals,,
393,Audacia SAS,nan,France,French Financials,French Asset Management,,
394,Transition SA,nan,France,French Financials,French Shell Companies,,
395,"Colipays, SA",nan,France,French Consumer Discretionary,French Internet Retail,,
396,Believe SA,nan,France,French Consumer Discretionary,French Specialty Retail,,
397,Visiativ SA,nan,France,French Technology,French Software—Application,,
398,Weya SA,nan,France,French Utilities,French Utilities—Diversified,,
399,Metalliance SA,nan,France,French Industrials,French Specialty Industrial Machinery,,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,
400,SAS AG3i,nan,France,French Industrials,French Engineering & Construction,,
401,Editions DU Signe,nan,France,French Communication Services,French Publishing,,
402,Moulinvest SA,nan,France,French Basic Materials,French Lumber & Wood Production,,
403,E-Pango SA,nan,France,French Utilities,French Utilities—Renewable,,
404,Enogia SAS,nan,France,French Industrials,French Specialty Industrial Machinery,,
405,Recylex SA,nan,France,French Basic Materials,French Other Industrial Metals & Mining,,
406,Signaux Girod SA,nan,France,French Industrials,French Railroads,,
407,Obiz Concept SAS,nan,France,French Communication Services,French Advertising Agencies,,
408,NFL Biosciences SA,nan,France,French Healthcare,French Biotechnology,,
409,Magillem Design Services,nan,France,French Technology,French Software—Application,,
410,OVH Groupe SAS,nan,France,French Technology,French Software—Infrastructure,,
411,Les Toques Blanches du Monde SA,nan,France,French Consumer Discretionary,French Restaurants,,
412,Exclusive Networks SA,nan,France,French Technology,French Software—Infrastructure,,
413,CS Communication & Systemes SA,nan,France,French Industrials,French Aerospace & Defense,,
414,Centrale d'Achat Française pour l'Outre-Mer SA,nan,France,French Consumer Discretionary,French Specialty Retail,,
