Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Areas of investment,Follow on index,Exits,Stages of investment,Type,Status
ZQ Capital,,1,0,zq-capital,https://unicorn-nest.com/funds/zq-capital,1,0,1,,,Health CareMedical DevicePharmaceutical,,1,,,
ZQGame,"Shenzhen, Guangdong, China",1,0,zqgame,https://unicorn-nest.com/funds/zqgame,1,0,1,0.06,,GamingMobile AppsMedia and Entertainment,,,,,
ZS Fund,"United States, New York",0,,zs-fund,https://unicorn-nest.com/funds/zs-fund,,0,,,,,,,,Private equity,Active
ZSCO,"Hangzhou, Zhejiang, China",11,3,zsco,https://unicorn-nest.com/funds/zsco,11,0,10,1.57,3,BiotechnologyInternetSoftwareInformation TechnologyHealth CareManufacturingMedicalData CenterAndroidOperating Systems,0.09,2,,,
ZSVC,"Beijing, Beijing, China",96,15,zsvc,https://unicorn-nest.com/funds/zsvc,96,0,85,,15,BiotechnologyE-CommerceSoftwareHealth CareManufacturingMedicalCloud ComputingHardwareElectronicsMedia and Entertainment,0.11,12,SeedEarly Stage Venture,,
ZSY Capital,"Shanghai, China",5,1,zsy-capital,https://unicorn-nest.com/funds/zsy-capital,5,0,5,,1,InternetRetailInformation TechnologyHealth CareTravelService IndustryTourismCustomer ServiceHome ServicesAgriculture,,,Early Stage VentureLate Stage Venture,,
ZT Labs,"United States, California, San Francisco",6,0,zt-labs,https://unicorn-nest.com/funds/zt-labs,6,0,6,0.29,,E-CommerceInternetMobileMarketplaceGrocerySocial MediaTravelShoppingLeisureVacation Rental,,3,Seed,,
ZTC Private Markets GmbH,,2,0,ztc-private-markets-gmbh,https://unicorn-nest.com/funds/ztc-private-markets-gmbh,2,0,1,,,E-CommerceFinancial ServicesFinTechInformation TechnologyPaymentsMobile PaymentsCloud ComputingGift Card,0.50,,,,
ZTE,"Shenzhen, Guangdong, China",7,0,zte,https://unicorn-nest.com/funds/zte,7,0,7,0.18,,Information TechnologyHealth CareManufacturingMedical DeviceMedicalHardwareConsumer ElectronicsElectronicsTelecommunicationsSatellite Communication,,1,,,
ZTE Venture Capital Fund Management,"Shenzhen, Guangdong, China",7,1,zte-venture-capital-fund-management,https://unicorn-nest.com/funds/zte-venture-capital-fund-management,7,0,6,0.58,1,AutomotiveE-CommerceB2BRoboticsManufacturingElectronicsConsultingIndustrialE-Commerce PlatformsSporting Goods,0.14,3,,,
